family_id,family_name
508,Afro-Asiatic
344,Algonquian
245,Amuzgo
385,Araucanian
190,Arawakan
362,Arawán
559,Australian languages
497,Austronesian
215,Aymara
234,Aymaran
578,Barbacoan
389,Cahuapanan
354,Cariban
558,Central American Indigenous Languages
209,Chatino
7,Chibchan
366,Chinantecan
3,Choco
390,Chon
574,"Creoles, English-Based"
542,Enlhet-Enenlhet
563,Guajiboan
387,Guaykuruan
2,Indo-European
501,Iroquoian
222,Jivaroan
355,Macro-Jê
369,Matacoan
195,Mayan
365,Misumalpan
386,Miwok-Costanoan
192,Mixe-Zoque
401,Mosetenan
402,Naduhup
505,Niger-Congo
557,North American Indigenous Languages
6,Otomanguean
230,Panoan
212,Quechua
741,Quechuan
384,Saliban
335,Siouan
556,South American Indigenous Languages
356,Tacanan
368,Tequistlatecan
229,Totonacan
500,Trans-New Guinea
275,Tukanoan
357,Tupian
367,Uru-Chipaya
225,Uto-Aztecan
388,Yanomaman
324,Yuman-Cochimí
383,Zaparoan
